name,price,product availability,product description,product service rating,number of reviews
"Процессор Intel Core i7-12700 OEM [LGA 1700, 8P x 2.1 ГГц, 4E x 1.6 ГГц, L2 - 12 МБ, L3 - 25 МБ, 2хDDR4, DDR5-4800 МГц, Intel UHD Graphics 770, TDP 180 Вт]","25 599 ₽","В наличии: в 1 магазине","Процессор Intel Core i7-12700 выполнен на базе архитектуры Alder Lake-S, использует техпроцесс 7 нм и отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Благодаря этому данная модель может стать отличным выбором для игровых систем и мощных рабочих станций.  За производительность Intel Core i7-12700 отвечает 8 производительных, 4 энергоэффективных ядер и 20 потоков, которые могут работать в широком диапазоне частот. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Другой особенностью является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений. Процессор использует сокет LGA 1700 и свежий чипсет 600 серии.","99,66%","120"
"Процессор Intel Core i7-12700K OEM [LGA 1700, 8P x 3.6 ГГц, 4E x 2.7 ГГц, L2 - 12 МБ, L3 - 25 МБ, 2хDDR4, DDR5-4800 МГц, Intel UHD Graphics 770, TDP 190 Вт]","30 999 ₽","В наличии: в 1 магазине","Процессор Intel Core i7-12700K выполнен на базе архитектуры Alder Lake-S, использует техпроцесс 10 нм и отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Благодаря этому данная модель может стать отличным выбором для игровых систем и мощных рабочих станций.  За производительность Intel Core i7-12700K отвечает 8 производительных, 4 энергоэффективных ядер и 20 потоков, которые могут работать в широком диапазоне частот с возможностью дополнительного разгона за счет свободного множителя. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Другой особенностью является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений. Процессор использует сокет LGA 1700 и свежий чипсет 600 серии.","99,50%","134"
"Процессор Intel Core i3-10105F OEM [LGA 1200, 4 x 3.7 ГГц, L2 - 1 МБ, L3 - 6 МБ, 2хDDR4-2666 МГц, TDP 65 Вт]","5 599 ₽","В наличии: в 2 магазинах","Процессор Intel Core i3-10105F – чип со сбалансированной производительностью. Можно использовать его для создания различных сборок. При изготовлении применялся технологический процесс 14 нм. Он позволяет добиться небольшого потребления энергии и тепловыделения. Процессор выполнен с применением архитектуры Comet Lake. Она позволила поднять производительность в сравнении с чипами прошлого поколения. Используется четыре ядра и восемь потоков для обработки информации.","99,47%","535"
"Процессор Intel Core i5-12600KF OEM [LGA 1700, 6P x 3.7 ГГц, 4E x 2.8 ГГц, L2 - 9.5 МБ, L3 - 20 МБ, 2хDDR4, DDR5-4800 МГц, TDP 150 Вт]","21 499 ₽","В магазинах: 19 февраля (ВС)","Процессор Intel Core i5-12600KF выполнен на базе архитектуры Alder Lake-S, использует техпроцесс 7 нм и отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Благодаря этому данная модель может стать отличным выбором для игровых систем и мощных рабочих станций.  За производительность Intel Core i5-12600KF отвечает 6 производительных, 4 энергоэффективных ядер и 16 потоков, которые могут работать в широком диапазоне частот с возможностью дополнительного разгона за счет свободного множителя. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Другой особенностью является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений. Процессор использует сокет LGA 1700 и свежий чипсет 600 серии.","99,52%","163"
"Процессор Intel Core i5-12400 BOX [LGA 1700, 6 x 2.5 ГГц, L2 - 7.5 МБ, L3 - 18 МБ, 2хDDR4, DDR5-4800 МГц, Intel UHD Graphics 730, TDP 117 Вт, кулер]","14 999 ₽","В наличии: в 2 магазинах","Процессор Intel Core i5-12400 – чип со сбалансированной производительностью. Можно использовать его для создания различных сборок. При изготовлении применялся технологический процесс 7 нм. Он позволяет добиться небольшого потребления энергии и тепловыделения. Процессор выполнен с применением архитектуры Alder Lake. Она позволила поднять производительность в сравнении с чипами прошлого поколения. Используется шесть ядер и двенадцать потоков для обработки информации.","99,79%","628"
"Процессор Intel Core i7-12700F OEM [LGA 1700, 8P x 2.1 ГГц, 4E x 1.6 ГГц, L2 - 12 МБ, L3 - 25 МБ, 2хDDR4, DDR5-4800 МГц, TDP 180 Вт]","27 199 ₽","В наличии: в 2 магазинах","Процессор Intel Core i7-12700F выполнен на базе архитектуры Alder Lake-S, использует техпроцесс 7 нм и отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Благодаря этому данная модель может стать отличным выбором для игровых систем и мощных рабочих станций.  За производительность Intel Core i7-12700F отвечает 8 производительных, 4 энергоэффективных ядер и 20 потоков, которые могут работать в широком диапазоне частот. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Другой особенностью является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений. Процессор использует сокет LGA 1700 и свежий чипсет 600 серии.","99,69%","72"
"Процессор AMD Ryzen 5 5600G BOX [AM4, 6 x 3.9 ГГц, L2 - 3 МБ, L3 - 16 МБ, 2хDDR4-3200 МГц, AMD Radeon Vega 7, TDP 65 Вт, кулер]","12 599 ₽","В магазинах: 19 февраля (ВС)","Используйте лучшее оборудование для игр, 6 невероятных ядер, для тех, кто живет игрой. Этот лучший в мире процессор для настольных ПК гарантирует прекрасную производительность в играх.  Высокопроизводительная архитектура ядер «Zen 3» компании AMD позволяет процессорам Ryzen 5 5600G, развивать более высокую производительность в одно- и многопотоковом режимах, чем любой другой процессор для настольных ПК. Эта необходимая для успеха геймеров и разработчиков контента производительность помогает побеждать.","99,30%","384"
"Процессор AMD Ryzen 7 3700X OEM [AM4, 8 x 3.6 ГГц, L2 - 4 МБ, L3 - 32 МБ, 2хDDR4-3200 МГц, TDP 65 Вт]","15 799 ₽","В наличии: в 1 магазине","Процессор AMD Ryzen 7 3700X OEM способен удовлетворить запросы обычных и требовательных пользователей. Создан на 7-нм техпроцессе, большой кэш L3 объемом 32 Мб, поддерживает два канала памяти формата DDR4, значение тепловыделения 65W. Он имеет хорошую производительность в однопоточных и многопоточных задачах.","99,42%","746"
"Процессор Intel Core i5-12400 OEM [LGA 1700, 6 x 2.5 ГГц, L2 - 7.5 МБ, L3 - 18 МБ, 2хDDR4, DDR5-4800 МГц, Intel UHD Graphics 730, TDP 117 Вт]","14 499 ₽","Товара нет в наличии","Процессор Intel Core i5-12400 – чип со сбалансированной производительностью. Можно использовать его для создания различных сборок. При изготовлении применялся технологический процесс 10 нм. Он позволяет добиться небольшого потребления энергии и тепловыделения. Процессор выполнен с применением архитектуры Alder Lake. Она позволила поднять производительность в сравнении с чипами прошлого поколения. Используется шесть ядер и двенадцать потоков для обработки информации.","99,69%","390"
"Процессор Intel Core i5-12600K OEM [LGA 1700, 6P x 3.7 ГГц, 4E x 2.8 ГГц, L2 - 9.5 МБ, L3 - 20 МБ, 2хDDR4, DDR5-4800 МГц, Intel UHD Graphics 770, TDP 150 Вт]","22 599 ₽","В наличии: в 1 магазине","Процессор Intel Core i5-12600K выполнен на базе архитектуры Alder Lake-S, использует техпроцесс 7 нм и отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Благодаря этому данная модель может стать отличным выбором для игровых систем и мощных рабочих станций.  За производительность Intel Core i5-12600K отвечает 6 производительных, 4 энергоэффективных ядер и 16 потоков, которые могут работать в широком диапазоне частот с возможностью дополнительного разгона за счет свободного множителя. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Другой особенностью является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений. Процессор использует сокет LGA 1700 и свежий чипсет 600 серии.","99,50%","190"
"Процессор Intel Core i5-10400F BOX [LGA 1200, 6 x 2.9 ГГц, L2 - 1.5 МБ, L3 - 12 МБ, 2хDDR4-2666 МГц, TDP 65 Вт, кулер]","9 999 ₽","В наличии: в 2 магазинах","Процессор Intel Core i5-10400F – чип со сбалансированной производительностью. Можно использовать его для создания различных сборок. При изготовлении применялся технологический процесс 14 нм. Он позволяет добиться небольшого потребления энергии и тепловыделения. Процессор выполнен с применением архитектуры Comet Lake. Она позволила поднять производительность в сравнении с чипами прошлого поколения. Используется шесть ядер и двенадцать потоков для обработки информации.","99,74%","235"
"Процессор Intel Core i5-12400F OEM [LGA 1700, 6 x 2.5 ГГц, L2 - 7.5 МБ, L3 - 18 МБ, 2хDDR4, DDR5-4800 МГц, TDP 117 Вт]","14 399 ₽","Товара нет в наличии","Процессор Intel Core i5-12400F – чип со сбалансированной производительностью. Можно использовать его для создания различных сборок. При изготовлении применялся технологический процесс 10 нм. Он позволяет добиться небольшого потребления энергии и тепловыделения. Процессор выполнен с применением архитектуры Alder Lake. Она позволила поднять производительность в сравнении с чипами прошлого поколения. Используется шесть ядер и двенадцать потоков для обработки информации.","99,76%","402"
"Процессор AMD Ryzen 9 5900X BOX [AM4, 12 x 3.7 ГГц, L2 - 6 МБ, L3 - 64 МБ, 2хDDR4-3200 МГц, TDP 105 Вт]","28 999 ₽","В наличии: в 1 магазине","Ryzen 9 5900X - лучший игровой процессор в мире.  Сотрите границу между элитной производительностью для игр и рабочей станцией для создания контента благодаря самым передовым процессорам для настольных ПК в мире.  Высокопроизводительная архитектура ядер «Zen 3» компании AMD позволяет процессорам Ryzen 9 5900X, развивать более высокую производительность в одно- и многопотоковом режимах, чем любой другой процессор для настольных ПК. Эта необходимая для успеха геймеров и разработчиков контента производительность помогает побеждать.","99,16%","229"
"Процессор Intel Core i5-12400F BOX [LGA 1700, 6 x 2.5 ГГц, L2 - 7.5 МБ, L3 - 18 МБ, 2хDDR4, DDR5-4800 МГц, TDP 117 Вт, кулер]","14 699 ₽","В магазинах: завтра c (12:00)","Процессор Intel Core i5-12400F – чип со сбалансированной производительностью. Можно использовать его для создания различных сборок. При изготовлении применялся технологический процесс 10 нм. Он позволяет добиться небольшого потребления энергии и тепловыделения. Процессор выполнен с применением архитектуры Alder Lake. Она позволила поднять производительность в сравнении с чипами прошлого поколения. Используется шесть ядер и двенадцать потоков для обработки информации.","99,78%","402"
"Процессор Intel Core i5-10400 BOX [LGA 1200, 6 x 2.9 ГГц, L2 - 1.5 МБ, L3 - 12 МБ, 2хDDR4-2666 МГц, Intel UHD Graphics 630, TDP 65 Вт, кулер]","10 999 ₽","В наличии: в 2 магазинах","Принадлежащий к 10-му поколению 6-ядерный процессор Intel Core i5-10400 BOX станет отличным выбором для пользователей, которые хотят сконструировать надежную и высокопроизводительную систему. Модель, в частности, подойдет для оснащения игрового компьютера. Уровень скорости обработки данных, обеспечиваемый устройством, достаточен для решения большинства задач дома и в офисе. Процессор обладает 12-мегабайтной кеш-памятью 3-го уровня. Объем кеш-памяти L2 – 1.5 МБ. Базовая частота процессора равна 2900 МГц. Максимальная частота в турборежиме – 4300 МГц.  Процессор Intel Core i5-10400 BOX имеет интегрированное видеоядро Intel UHD Graphics 630, максимальная частота которого равна 1100 МГц. Совместимая память – DDR4. Объем памяти может достигать 128 ГБ. В комплектацию процессора входит оригинальный кулер Intel, который гарантирует стабильность функционирования устройства в любых режимах. Температура процессора (TDP которого составляет 65 Вт) в процессе работы может достигать 100 °C. Упаковка модели – эффектно выглядящая коробка.","99,86%","84"
"Процессор Intel Core i3-12100F BOX [LGA 1700, 4 x 3.3 ГГц, L2 - 5 МБ, L3 - 12 МБ, 2хDDR4, DDR5-4800 МГц, TDP 89 Вт, кулер]","8 999 ₽","В наличии: в 2 магазинах","4-ядерный процессор Intel Core i3-12100F – представитель 12-го поколения процессоров Intel, произведенный с использованием архитектуры Alder Lake. Устройство отлично подходит для комплектации системных блоков, рассчитанных на решение рабочих задач. Производительность процессора достаточна для обеспечения комфортных условий работы с абсолютным большинством распространенных в настоящее время программ. Модель использует сокет LGA 1700.","99,78%","647"
"Процессор AMD Ryzen 9 5900X OEM [AM4, 12 x 3.7 ГГц, L2 - 6 МБ, L3 - 64 МБ, 2хDDR4-3200 МГц, TDP 105 Вт]","28 499 ₽","В наличии: в 1 магазине","Процессор AMD Ryzen 9 5900X OEM представляет собой бескомпромиссное решение для профессиональных рабочих систем, серверов, а также игровых компьютеров, чьи пользователи желают получить максимум вычислительной мощности. Данная модель основана на высококачественных компонентах и передовых технологиях, что в совокупности с большим числом физических ядер и виртуальных потоков может обеспечить непревзойденно высокую производительность в любых сценариях использования компьютера.  Поддерживаемые AMD Ryzen 9 5900X частоты могут варьироваться от 3.7 до 4.8 ГГц. Благодаря этому, а также свободному множителю данная модель отличается высоким уровнем быстродействия. В частности, модель поддерживает большое количество временной памяти, а также может работать с интерфейсом PCI-E 4.0, что открывает широкие возможности для создания бескомпромиссной компьютерной системы для профессиональной работы и развлечений.  Тепловыделение вычислительного модуля составляет 105 Вт. Для его охлаждения могут использоваться различные воздушные, а также жидкостные системы. Монтаж процессора на материнские платы производится при помощи сокета AM4.","99,58%","229"
"Процессор Intel Core i5-11400 OEM [LGA 1200, 6 x 2.6 ГГц, L2 - 3 МБ, L3 - 12 МБ, 2хDDR4-3200 МГц, Intel UHD Graphics 730, TDP 65 Вт]","12 499 ₽","В наличии: в 1 магазине","Процессор Intel Core i5-11400 OEM отличается высокой производительностью и может стать отличным решением для игровых и рабочих систем любого класса. Данная модель разработана на базе микроархитектуры Rocket Lake-S и выполнена по техпроцессу 14 нм, благодаря чему процессор отличается высокой технологичностью. Для его монтажа на материнскую плату используется сокет LGA 1200.  Производительность Intel Core i5-11400 представлена 6 ядрами и 12 потоками, которые могут работать в широком диапазоне частот. Благодаря этому, а также большому кэшу разных уровней модель может обеспечить высокое быстродействие в самых разных условиях. Графическая подсистема представлена встроенным чипом Intel, который может обеспечить комфортный уровень производительности для различных задач. Другой особенностью вычислительного блока является поддержка до 128 ГБ оперативной памяти.  Тепловыделение процессора составляет 65 Вт, благодаря чему данная модель отличается невысокими рабочими температурами и подойдет для сборок в корпусах компактного формата. Модель поставляется без системы охлаждения, что позволяет использовать воздушные или водяные модули на выбор пользователя.","99,67%","176"
"Процессор Intel Core i7-12700KF OEM [LGA 1700, 8P x 3.6 ГГц, 4E x 2.7 ГГц, L2 - 12 МБ, L3 - 25 МБ, 2хDDR4, DDR5-4800 МГц, TDP 190 Вт]","30 499 ₽","В магазинах: завтра c (12:00)","Процессор Intel Core i7-12700KF выполнен на базе архитектуры Alder Lake-S, использует техпроцесс 7 нм и отличается высокой производительностью и эффективностью, что позволит с легкостью выполнять любые задачи. Благодаря этому данная модель может стать отличным выбором для игровых систем и мощных рабочих станций.  За производительность Intel Core i7-12700KF отвечает 8 производительных, 4 энергоэффективных ядер и 20 потоков, которые могут работать в широком диапазоне частот с возможностью дополнительного разгона за счет свободного множителя. Благодаря этому, а также большому кэшу разных уровней процессор может обеспечить высокое быстродействие в самых разных условиях. Другой особенностью является поддержка до 128 ГБ оперативной памяти, что позволит создать бескомпромиссное решение для работы и развлечений. Процессор использует сокет LGA 1700 и свежий чипсет 600 серии.","99,25%","125"
"Процессор Intel Core i3-12100 OEM [LGA 1700, 4 x 3.3 ГГц, L2 - 5 МБ, L3 - 12 МБ, 2хDDR4, DDR5-4800 МГц, Intel UHD Graphics 730, TDP 89 Вт]","9 499 ₽","В наличии: в 3 магазинах","Процессор Intel Core i3-12100 – чип со сбалансированной производительностью. Можно использовать его для создания различных сборок. При изготовлении применялся технологический процесс 10 нм. Он позволяет добиться небольшого потребления энергии и тепловыделения. Процессор выполнен с применением архитектуры Alder Lake. Она позволила поднять производительность в сравнении с чипами прошлого поколения. Используется четыре ядра и восемь потоков для обработки информации.","99,63%","173"
"Процессор Intel Core i5-11400F BOX [LGA 1200, 6 x 2.6 ГГц, L2 - 3 МБ, L3 - 12 МБ, 2хDDR4-3200 МГц, TDP 65 Вт, кулер]","11 999 ₽","В наличии: в 1 магазине","Процессор Intel Core i5-11400F – чип со сбалансированной производительностью. Можно использовать его для создания различных сборок. При изготовлении применялся технологический процесс 14 нм. Он позволяет добиться небольшого потребления энергии и тепловыделения. Процессор выполнен с применением архитектуры Rocket Lake. Она позволила поднять производительность в сравнении с чипами прошлого поколения. Используется шесть ядер и двенадцать потоков для обработки информации.","99,57%","719"
"Процессор Intel Core i3-12100 BOX [LGA 1700, 4 x 3.3 ГГц, L2 - 5 МБ, L3 - 12 МБ, 2хDDR4, DDR5-4800 МГц, Intel UHD Graphics 730, TDP 89 Вт, кулер]","10 399 ₽","В наличии: в 1 магазине","Процессор Intel Core i3-12100 – чип со сбалансированной производительностью. Можно использовать его для создания различных сборок. При изготовлении применялся технологический процесс 10 нм. Он позволяет добиться небольшого потребления энергии и тепловыделения. Процессор выполнен с применением архитектуры Alder Lake. Она позволила поднять производительность в сравнении с чипами прошлого поколения. Используется четыре ядра и восемь потоков для обработки информации.","99,92%","121"
